ticket_id,entereddate,lastmodified,closeddate,status,contactmethod,category,department,location,city,state,zip,latitude,longitude
33508,12/3/2004 5:00,9/11/2016 22:02,12/3/2004 5:00,closed,Phone Call,Potholes,,516 N Grant ST,Bloomington,IN,47408,39.1709404,-86.52947235
39342,9/23/2003 5:00,9/11/2016 22:02,9/23/2003 5:00,closed,Phone Call,Potholes,Planning and Transportation,3845 E Tamarron DR,Bloomington,IN,47408,39.17483139,-86.48297882
44659,8/17/2004 5:00,9/11/2016 22:02,8/17/2004 5:00,closed,Other,Potholes,,S VILLAGE CT,Bloomington,IN,,,
61915,9/3/1998 5:00,9/11/2016 22:02,9/3/1998 5:00,closed,Phone Call,Potholes,,1030 S High ST,Bloomington,IN,47401,39.15576935,-86.50873566
63454,6/22/1998 5:00,9/11/2016 22:02,6/22/1998 5:00,closed,Phone Call,Potholes,,3433 E Longview AVE,Bloomington,IN,47408,39.16797256,-86.48963928
63577,6/12/1998 5:00,9/11/2016 22:02,6/12/1998 5:00,closed,Phone Call,Potholes,,319 S Madison ST,Bloomington,IN,47403,39.16394043,-86.53715515
63980,5/19/1998 5:00,9/11/2016 22:02,5/19/1998 5:00,closed,Phone Call,Potholes,,1007 W Countryside LN,Bloomington,IN,47403,39.14294052,-86.5451889
67164,7/15/1997 5:00,9/11/2016 22:02,7/15/1997 5:00,closed,Web Form,Potholes,,W 2ND ST,Bloomington,IN,,,
67416,6/25/1997 5:00,9/11/2016 22:02,6/25/1997 5:00,closed,Web Form,Potholes,,W 2ND ST,Bloomington,IN,,,
67417,6/25/1997 5:00,9/11/2016 22:02,6/25/1997 5:00,closed,Phone Call,Potholes,,W 2ND ST,Bloomington,IN,,,
73246,7/6/2011 17:33,9/11/2016 22:02,7/7/2011 12:56,closed,Web Form,Potholes,Street Department,801 N INDIANA AVE,Bloomington,IN,,,
73932,5/31/2011 4:00,9/11/2016 22:02,5/31/2011 4:00,closed,NeighborLink,Potholes,Street Department,120 S Hillsdale DR,Bloomington,IN,47408,39.16604996,-86.50372314
74856,3/4/2011 5:00,9/11/2016 22:02,3/4/2011 5:00,closed,NeighborLink,Potholes,Street Department,1401 W Woodhill DR,Bloomington,IN,47403,39.15693283,-86.54839325
76299,9/30/1996 5:00,9/11/2016 22:02,9/30/1996 5:00,closed,,Potholes,,S FESS,Bloomington,IN,,,
100834,6/21/2004 5:00,9/11/2016 22:02,6/21/2004 5:00,closed,Other,Potholes,,S VILLAGE CT,Bloomington,IN,,,
101561,3/17/2004 5:00,9/11/2016 22:02,3/17/2004 5:00,closed,Other,Potholes,,S VILLAGE DR,Bloomington,IN,,,
116088,9/3/1998 5:00,9/11/2016 22:02,9/3/1998 5:00,closed,Phone Call,Potholes,,1030 S High ST,Bloomington,IN,47401,39.15576935,-86.50873566
117151,6/5/1998 5:00,9/11/2016 22:02,6/5/1998 5:00,closed,Constituant Meeting,Potholes,,S FORRESTER ST,Bloomington,IN,,,
